# satellite: 38834 DELTA 4 R/B / US
# catalogue: 1 NORAD
# variability: 2 Periodic
# variability_period: 144.187652
# type: 3 R/B Rocket Body
# npoints: 303266
#
# Date Time StdMag Mag Filter Penumbra Distance Phase Channel Track
2014-08-02 21:04:57.413000 4.231 10.5834 Clear 0 21916.505 67.323 8 1212943
2014-08-02 21:04:57.513000 3.951 10.303 Clear 0 21916.498 67.324 8 1212943
2014-08-02 21:04:57.613000 4.311 10.6627 Clear 0 21916.492 67.325 8 1212943
2014-08-02 21:04:57.713000 3.534 9.88593 Clear 0 21916.485 67.326 8 1212943
2014-08-02 21:04:57.813000 3.68 10.0319 Clear 0 21916.478 67.327 8 1212943
2014-08-02 21:04:57.913000 3.262 9.61404 Clear 0 21916.472 67.328 8 1212943
2014-08-02 21:04:58.013000 3.67 10.0224 Clear 0 21916.465 67.329 8 1212943
2014-08-02 21:04:58.113000 4.066 10.4179 Clear 0 21916.459 67.33 8 1212943
2014-08-02 21:04:58.213000 3.801 10.1529 Clear 0 21916.452 67.331 8 1212943
2014-08-02 21:04:58.413000 4.301 10.6542 Clear 0 21916.439 67.333 8 1212943
2014-08-02 21:04:58.513000 3.523 9.87571 Clear 0 21916.432 67.334 8 1212943
2014-08-02 21:04:58.713000 3.419 9.7721 Clear 0 21916.419 67.336 8 1212943
2014-08-02 21:04:58.813000 3.685 10.0378 Clear 0 21916.413 67.337 8 1212943
2014-08-02 21:04:59.013000 3.569 9.92149 Clear 0 21916.399 67.339 8 1212943
2014-08-02 21:04:59.213000 3.344 9.6969 Clear 0 21916.386 67.341 8 1212943
2014-08-02 21:04:59.313000 3.822 10.1745 Clear 0 21916.38 67.342 8 1212943
2014-08-02 21:04:59.413000 3.158 9.5108 Clear 0 21916.373 67.343 8 1212943
2014-08-02 21:04:59.513000 3.969 10.3216 Clear 0 21916.367 67.344 8 1212943
2014-08-02 21:04:59.713000 3.454 9.80672 Clear 0 21916.353 67.346 8 1212943
2014-08-02 21:04:59.813000 2.909 9.2621 Clear 0 21916.347 67.347 8 1212943
2014-08-02 21:04:59.913000 3.373 9.72596 Clear 0 21916.34 67.348 8 1212943
2014-08-02 21:05:00.013000 3.257 9.60967 Clear 0 21916.334 67.349 8 1212943
2014-08-02 21:05:00.213000 2.992 9.34508 Clear 0 21916.321 67.351 8 1212943
2014-08-02 21:05:00.313000 3.267 9.61989 Clear 0 21916.314 67.352 8 1212943
2014-08-02 21:05:00.413000 3.3 9.65336 Clear 0 21916.307 67.353 8 1212943
2014-08-02 21:05:00.513000 3.589 9.94192 Clear 0 21916.301 67.354 8 1212943
2014-08-02 21:05:00.813000 3.183 9.53563 Clear 0 21916.281 67.357 8 1212943
2014-08-02 21:05:01.513000 3.021 9.374 Clear 0 21916.235 67.364 8 1212943
2014-08-02 21:05:01.713000 3.149 9.50187 Clear 0 21916.222 67.366 8 1212943
2014-08-02 21:05:01.813000 2.968 9.32081 Clear 0 21916.216 67.367 8 1212943
2014-08-02 21:05:01.913000 3.882 10.235 Clear 0 21916.209 67.368 8 1212943
2014-08-02 21:05:02.013000 3.184 9.53699 Clear 0 21916.203 67.369 8 1212943
2014-08-02 21:05:02.113000 3.662 10.015 Clear 0 21916.196 67.37 8 1212943
2014-08-02 21:05:02.213000 3.772 10.1247 Clear 0 21916.19 67.371 8 1212943
2014-08-02 21:05:02.313000 3.583 9.93605 Clear 0 21916.183 67.372 8 1212943
2014-08-02 21:05:02.413000 3.695 10.048 Clear 0 21916.177 67.373 8 1212943
2014-08-02 21:05:02.513000 2.681 9.03414 Clear 0 21916.17 67.374 8 1212943
2014-08-02 21:05:02.713000 3.312 9.66533 Clear 0 21916.157 67.376 8 1212943
2014-08-02 21:05:02.813000 3.175 9.5279 Clear 0 21916.151 67.377 8 1212943
2014-08-02 21:05:02.913000 3.41 9.76306 Clear 0 21916.144 67.378 8 1212943
2014-08-02 21:05:03.013000 3.53 9.88276 Clear 0 21916.138 67.379 8 1212943
2014-08-02 21:05:03.213000 3.238 9.59109 Clear 0 21916.125 67.381 8 1212943
2014-08-02 21:05:03.313000 3.184 9.537 Clear 0 21916.118 67.382 8 1212943
2014-08-02 21:05:03.413000 3.492 9.84542 Clear 0 21916.112 67.383 8 1212943
2014-08-02 21:05:03.613000 2.973 9.32555 Clear 0 21916.098 67.385 8 1212943
2014-08-02 21:05:03.713000 3.393 9.74575 Clear 0 21916.092 67.386 8 1212943
2014-08-02 21:05:03.813000 2.92 9.27294 Clear 0 21916.085 67.387 8 1212943
2014-08-02 21:05:03.913000 2.88 9.23269 Clear 0 21916.079 67.388 8 1212943
2014-08-02 21:05:04.013000 2.693 9.04551 Clear 0 21916.072 67.389 8 1212943
